v1,v2
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
spam,WINNER!! You have won a $1000 cash prize! Call now to claim your reward!
ham,"Hey, are you free for lunch tomorrow? Let me know."
spam,Congratulations! You have been selected for a free vacation. Click here now!
ham,Thanks for sending the report. I will review it and get back to you.
spam,URGENT: Your account has been compromised. Verify your identity immediately!
ham,Can you send me the meeting notes from yesterday? Thanks!
spam,Get rich quick! Make $5000 per week working from home. Limited time offer!
ham,I received your email. Let me check my calendar and confirm the appointment.
spam,FREE iPhone! You are the lucky winner. Claim your prize before it expires!
ham,Please find attached the document you requested. Let me know if you need anything else.
spam,Act now! Limited time offer. Buy one get one free. Click here to order!
ham,"Hi, I hope you are doing well. Just wanted to follow up on our last conversation."
spam,"You have won a lottery! Send your bank details to claim $10,000 prize money!"
ham,The project deadline has been extended to next Friday. Please plan accordingly.
spam,SPECIAL OFFER: 90% discount on all products. Shop now before stock runs out!
ham,Could you please review the attached proposal and share your feedback?
spam,Earn money online! No experience needed. Start making $100 per hour today!
ham,Thank you for your interest. We will get back to you within 2 business days.
spam,ALERT: Suspicious activity detected on your account. Click to secure your account!
ham,I have scheduled the meeting for next Monday at 10 AM. See you there.
